smiles,id,-logKd/Ki
Cn1nc(-c2ccc3c(c2)OCO3)cc1N,3ao4,2.0699999999999998
[NH3+]CCc1ccccc1,1uto,2.27
O=C1NC2C(O)C(O)C(O)C(CO)N2C1=O,1ps3,2.2799999999999998
OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,1qi0,2.3500000000000001
O=C1C=C(Nc2nnn[nH]2)CCC1,3g2z,2.3599999999999999
N=c1ccn(C2OC(CO)C(O)C(F)C2O)c(=O)[nH]1,3l7b,2.3999999999999999
Nc1ncc(CCC([NH3+])C(=O)[O-])[nH]1,3mfv,2.52
CC(C)CC([NH3+])C(=O)[O-],3b3s,2.5499999999999998
[NH3+]Cc1ccc(C(=O)[O-])cc1,3kgp,2.5699999999999998
CC(=O)Oc1c(C)cccc1C(=O)[O-],3fcq,2.77
COc1ccc(S(N)(=O)=O)cc1,3lka,2.8199999999999998
O=C1Nc2ccccc2C12CC[NH2+]C2,3udh,2.8500000000000001
CCOC(=O)C=Cc1ccc(O)c(O)c1,4gqq,2.8900000000000001
COc1ccc2[nH]ccc2c1,3imc,2.96
CCN(CC)C(=O)c1ccc(O)c(OC)c1,2xdl,3.1000000000000001
[NH3+]CCc1c[nH]c2ccc(O)cc12,2ymd,3.1600000000000001
[NH3+]C(CCC(=O)NC(CS)C(=O)NCC(=O)[O-])C(=O)[O-],1lbk,3.1800000000000002
Nc1ccc2cc3ccc(N)cc3nc2c1,1bcu,3.2799999999999998
C=CC[NH+](Cc1ccccc1C(=O)NCc1ccccc1)Cc1ccc2c(c1C(=O)[O-])OCO2,3zsx,3.2799999999999998
CC(=O)NC1C(O)C=C(C(=O)[O-])OC1C(O)C(O)C[NH3+],1f8d,3.3999999999999999
Nc1nc(CCc2ccccc2)cc(=O)[nH]1,2v00,3.6600000000000001
O=C([O-])C1(O)C=CC(O)C(O)C1,3n7a,3.7000000000000002
C=CCOC1(C(=O)[O-])CC(OC2(C(=O)[O-])OC(C(O)CO)C(O)C(O)C2O)C(O)C(C(O)CO)O1,2r23,3.7200000000000002
CCCCCCCCCC(=O)[O-],3nq3,3.7799999999999998
O=C([O-])COc1c(Br)csc1C(=O)[O-],2hb1,3.7999999999999998
CC(=O)NC1C(O)C[NH2+]C(CO)C(O)C1O,2w66,4.0499999999999998
CCCCc1nc2c(=O)[nH][nH]c(=O)c2[nH]1,1n2v,4.0800000000000001
[NH3+]CCC[NH2+]CCCC[NH2+]CCC[NH3+],3kwa,4.0800000000000001
O=C(NC1OC(CO)C(O)C(O)C1O)c1ccccc1,3g2n,4.0899999999999999
C[NH+](C)Cc1cccc(C(=O)Nc2cccc(-c3nn[nH]n3)c2)c1,4de2,4.1200000000000001
O=C(NCC=CC1OC(n2ccc(=O)cc2)C(O)C1O)c1cc([N+](=O)[O-])cc(O)c1O,3ozt,4.1299999999999999
CC(C)CC([NH3+])C(=O)[O-],3b3w,4.1900000000000004
Nc1cccc2c(S(=O)(=O)[O-])cccc12,3cft,4.1900000000000004
[NH3+]C(Cc1c[nH]c2ccccc12)C(=O)[O-],3f3a,4.1900000000000004
CC1OC(OC2C(CO)OC(OC3C(CO)OC(O)C(O)C3O)C(O)C2O)C(O)C(O)C1[NH2+]C1C=C(CO)C(O)C(O)C1O,2qmj,4.21
[NH3+]C(CCCC[N+](=O)[O-])C(=O)[O-],3f80,4.2199999999999998
CC(C)CC(NC(=O)C(CC(=O)[O-])NC(=O)C([NH3+])CCC(=O)[O-])C(=O)[O-],1a30,4.2999999999999998
OCC1OC(OC2C(O)C[NH2+]OC2CO)C(O)C(O)C1O,1w3k,4.2999999999999998
COc1ccc2c(c1)cc(CNS(=O)(=O)c1cc3ccccc3o1)n2CC(=O)[O-],3ivg,4.2999999999999998
COC1OC(CO)C(O)C(O)C1O,2jdy,4.3700000000000001
CCCCCCCCCC(=O)[O-],3u9q,4.3799999999999999
O=S(=O)([O-])c1cccc2cccc(Nc3ccccc3)c12,3pxf,4.4299999999999997
CCCCCCCCN=C1OCC2C(O)C(O)C(O)C(O)N12,2wbg,4.4500000000000002
COC1C(CO)OC(OC2C(CO)OC(OC3C(CO)NC(=NO)C(O)C3O)C(O)C2O)C(O)C1O,1u33,4.5999999999999996
Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O,2x0y,4.5999999999999996
CNC(=O)C([NH3+])Cc1ccc(OCc2ccccc2)cc1,3mss,4.6600000000000001
