4tln,1982
5tln,1982
2tpi,1982
4cts,1984
6rsa,1986
1rnt,1987
6cha,1987
4tmn,1989
1tmn,1989
1tlp,1989
5tmn,1989
2tmn,1989
4ts1,1989
1p04,1990
1p01,1990
1p05,1990
1p06,1990
1p03,1990
1p10,1990
1p02,1990
6gch,1990
3at1,1990
7gch,1990
4fab,1990
4sga,1991
4er1,1991
5apr,1991
6apr,1991
3er5,1991
4apr,1991
5er2,1991
6abp,1991
7abp,1991
1fkf,1991
2er9,1991
8abp,1991
5hvp,1991
2ypi,1991
1rbp,1991
9icd,1991
4er2,1991
3er3,1991
6cpa,1991
4er4,1991
2er6,1991
5er1,1991
2er0,1991
5abp,1992
4tim,1992
5est,1992
4est,1992
7gpb,1992
9hvp,1992
9abp,1992
1apb,1992
1bap,1992
6gpb,1992
8gpb,1992
1stp,1992
6tim,1992
2lpr,1993
9lpr,1993
6lpr,1993
8lpr,1993
1abf,1993
5lpr,1993
7lpr,1993
3lpr,1993
8hvp,1993
1rgk,1993
7hvp,1993
1trd,1993
1ppl,1993
1rgl,1993
6rnt,1993
1ppm,1993
2avi,1993
1l83,1993
1mns,1993
1bcd,1993
3gst,1993
2gst,1993
1fkb,1993
1hiv,1993
1cps,1993
1igj,1993
1rne,1993
2mip,1993
4phv,1993
1rin,1993
1hos,1993
1ind,1993
1gca,1993
1pip,1993
1ivp,1993
1gpy,1993
1dbb,1993
1dmb,1993
1atr,1993
1pop,1993
1tsi,1994
1agm,1994
1apv,1994
1apw,1994
1ppk,1994
1tmb,1994
1tet,1994
1dwc,1994
1elb,1994
1elc,1994
1eed,1994
1tkc,1994
1dhi,1994
1rpf,1994
1thr,1994
1bra,1994
1csi,1994
1dwd,1994
1hvj,1994
1tka,1994
1hef,1994
1epp,1994
2ctc,1994
1fkh,1994
1hte,1994
1ths,1994
1tni,1994
2drc,1994
1gbt,1994
1iht,1994
1thl,1994
1csh,1994
1tnl,1994
1els,1994
1lst,1994
1cbx,1994
1mfa,1994
1dhj,1994
1ett,1994
1hgt,1994
1pph,1994
1srg,1994
1tnh,1994
1ent,1994
1epq,1994
1tnj,1994
1tnk,1994
1erb,1994
1inc,1994
1tng,1994
1avd,1994
1sri,1994
1fki,1994
1wht,1994
1hvk,1994
1ets,1994
1lyb,1994
1nnb,1994
1epo,1994
1sps,1994
1add,1994
1hvi,1994
